,UTC Gregorian,altitude (km)_x,x-coordinate,y-coordinate,z-coordinate,x velocity,y velocity,z velocity,radial (km),radial (m),altitude (km)_y,latitude (deg),longitude (deg),elevation (deg)
13,2024-03-19 00:26:23.054,513.3476530797034,-26.54772784825978,-397.0081597590288,480.8783194712345,4.585704276169933,-6.153008056515048,-0.3468946348666228,624.150798210364,624150.798210364,513.3476530797034,76.89091514773637,-55.67001213585556,81.16188726568639
57,2024-03-19 01:58:36.089,514.390866446457,-565.4943322175841,66.00562775419804,469.8945046279921,1.896324932334884,-7.439340390713065,0.2222661980364307,738.2014820799421,738201.4820799421,514.390866446457,81.75894605265654,-37.18088164135466,81.17952931578456
58,2024-03-19 02:00:35.835,513.524882218082,-341.7117334341277,-824.6932196364339,434.6305155398703,1.835937263542141,-7.414677106707768,-0.8104114932928325,992.8693269103026,992869.3269103025,513.524882218082,77.84632733193348,-75.52062731137936,81.16488936842279
59,2024-03-19 02:02:38.745,512.0314017766113,-121.5019066038217,-1727.319662718374,270.5479111021708,1.742322504918321,-7.249456893401623,-1.85540236905982,1752.5958184143967,1752595.8184143966,512.0314017766113,71.35469583090132,-92.4390935530801,81.13952765588218
102,2024-03-19 03:33:07.515,514.2308334862282,-619.0751016125753,-327.4715330574419,457.6500899613221,-1.164763512734888,-7.577191852184378,-0.4703248857936911,836.6212949962593,836621.2949962593,514.2308334862282,81.77054447677196,-60.32489491609158,81.17682749585701
103,2024-03-19 03:35:09.862,513.3408469063925,-763.516722064829,-1247.280112824882,335.8524099786224,-1.192415519950648,-7.435236271798177,-1.517613186846131,1500.4873561644963,1500487.3561644964,513.3408469063925,77.77505877555603,-99.45110315308584,81.16177193485493
104,2024-03-19 03:37:24.686,511.6640457928661,-924.7152281566314,-2230.160810108476,55.16430462052597,-1.193395926305931,-7.117201357554212,-2.63829586168655,2414.9034333970235,2414903.4333970235,511.6640457928661,70.5898814503553,-117.2446309001984,81.13326720794842
147,2024-03-19 05:07:38.995,514.0997659680097,-819.157480103627,-668.0164627964623,411.7963438996342,-4.023698614805271,-6.446282893901377,-1.117578938287683,1134.390232955982,1134390.232955982,514.0997659680097,81.77979429177769,-83.51842224255208,81.1746134730176
148,2024-03-19 05:09:50.003,513.1213771683942,-1343.6687869972,-1497.331343775891,192.8353477347433,-3.968850597234937,-6.19152486476287,-2.219163994969091,2021.0473605386444,2021047.3605386445,513.1213771683942,77.4082531771607,-124.5846772177307,81.1580514116666
191,2024-03-19 06:40:03.351,514.2603022805333,-341.8290621174722,-347.124131996977,476.063368852397,-6.237706026915864,-4.449623551903215,-0.5325355302664218,681.1597476993622,681159.7476993622,514.2603022805333,79.5234575967211,-57.03024892542729,81.17732513780794
192,2024-03-19 06:42:07.328,514.0188379128012,-1114.336290316754,-886.7941555391625,344.7153062399631,-6.204310096710488,-4.242129548207472,-1.582952209476948,1465.2569346607554,1465256.9346607553,514.0188379128012,81.81909429478382,-105.3497589261353,81.17324586704845
193,2024-03-19 06:44:14.018,513.0919207167126,-1891.648467818465,-1406.310161269535,77.72861224712034,-6.045952944699626,-3.945674966931567,-2.624845361264344,2358.4070752632497,2358407.0752632497,513.0919207167126,77.8070755497013,-146.5560373087841,81.15755181967013
236,2024-03-19 08:14:33.023,514.1862847662933,-555.8806438890039,-797.81195881545,424.4469554528002,-7.470797448771718,-1.597556904110936,-0.7922925904711576,1060.9723982614016,1060972.3982614016,514.1862847662933,79.41497597007799,-79.92137457067811,81.17607509221705
237,2024-03-19 08:16:36.454,513.9544800350159,-1471.639594235873,-978.6823728101187,263.1887487453292,-7.343837613425822,-1.328302867805893,-1.816441467457982,1786.8437535604787,1786843.7535604788,513.9544800350159,81.84629974277793,-127.5296191473328,81.17215798087187
