Target: LEO_Sat

Observer: Ground_Station
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
19 Mar 2024 00:22:09.048    19 Mar 2024 00:29:17.305      428.25648885    
19 Mar 2024 01:55:36.821    19 Mar 2024 02:02:27.375      410.55364972    
19 Mar 2024 03:28:49.226    19 Mar 2024 03:35:37.044      407.81792225    
19 Mar 2024 05:01:56.747    19 Mar 2024 05:09:00.954      424.20703070    
19 Mar 2024 06:35:23.693    19 Mar 2024 06:42:38.225      434.53123133    
19 Mar 2024 08:09:37.375    19 Mar 2024 08:16:20.046      402.67126848    
19 Mar 2024 09:45:07.429    19 Mar 2024 09:49:49.180      281.75012920    
19 Mar 2024 19:20:13.275    19 Mar 2024 19:22:31.065      137.78978898    
19 Mar 2024 20:53:08.953    19 Mar 2024 20:59:07.452      358.49898368    
19 Mar 2024 22:26:47.856    19 Mar 2024 22:33:53.509      425.65341254    
20 Mar 2024 00:00:28.566    20 Mar 2024 00:07:39.878      431.31151056    
20 Mar 2024 01:33:59.552    20 Mar 2024 01:40:53.455      413.90372176    
20 Mar 2024 03:07:15.037    20 Mar 2024 03:14:01.072      406.03490788    
20 Mar 2024 04:40:21.632    20 Mar 2024 04:47:21.012      419.38039506    
20 Mar 2024 06:13:41.248    20 Mar 2024 06:20:55.535      434.28711804    
20 Mar 2024 07:47:41.279    20 Mar 2024 07:54:37.092      415.81320050    
20 Mar 2024 09:22:49.375    20 Mar 2024 09:28:11.907      322.53130447    
20 Mar 2024 20:31:27.495    20 Mar 2024 20:36:54.871      327.37668625    
20 Mar 2024 22:05:02.785    20 Mar 2024 22:11:59.343      416.55810066    
20 Mar 2024 23:38:44.098    20 Mar 2024 23:45:57.165      433.06685239    
21 Mar 2024 01:12:17.939    21 Mar 2024 01:19:15.802      417.86294893    
21 Mar 2024 02:45:36.863    21 Mar 2024 02:52:22.426      405.56223424    
21 Mar 2024 04:18:43.816    21 Mar 2024 04:25:38.465      414.64884948    
21 Mar 2024 05:51:57.641    21 Mar 2024 05:59:09.792      432.15072976    
21 Mar 2024 07:25:45.450    21 Mar 2024 07:32:50.396      424.94618663    
21 Mar 2024 09:00:34.283    21 Mar 2024 09:06:28.568      354.28522315    
21 Mar 2024 10:37:20.161    21 Mar 2024 10:39:17.198      117.03702800    
21 Mar 2024 20:09:45.073    21 Mar 2024 20:14:32.392      287.31944903    
21 Mar 2024 21:43:14.516    21 Mar 2024 21:49:57.981      403.46546428    
21 Mar 2024 23:16:55.739    21 Mar 2024 23:24:08.765      433.02591643    


Number of events : 30


